Cell ID,Spot ID,80K Spots Position X,80K Spots Position Y,80K Spots Position Z
74,600000647,270.342,187.1,0.0998975
74,600000648,273.342,186.905,0.0998975
66,600000649,286.949,187.01,0.0998975
71,600000650,206.86,187.354,0.0998975
76,600000651,217.656,187.398,0.0998975
70,600000652,231.285,187.378,0.0998975
72,600000653,238.425,187.383,0.0998975
72,600000654,244.155,187.342,0.0998975
67,600000655,248.282,187.305,0.0998975
75,600000656,260.341,187.331,0.0998975
77,600000657,265.282,187.491,0.0998975
73,600000658,275.718,187.401,0.0998975
65,600000659,279.948,187.331,0.0998975
78,600000660,282.963,187.302,0.0998975
1,600000661,196.427,187.729,0.0998975
79,600000662,199.88,187.671,0.0998975
79,600000663,202.282,187.599,0.0998975
71,600000664,209.024,187.736,0.0998975
76,600000665,211.202,187.651,0.0998975
76,600000666,215.683,187.779,0.0998975
69,600000667,226.827,187.661,0.0998975
82,600000668,252.859,187.689,0.0998975
75,600000669,257.655,187.714,0.0998975
75,600000670,259.073,187.739,0.0998975
74,600000671,268.542,187.763,0.0998975
74,600000672,274.497,187.646,0.0998975
71,600000673,205.461,188.08,0.0998975
68,600000674,219.109,188.151,0.0998975
69,600000675,228.161,188.056,0.0998975
70,600000676,233.992,188.093,0.0998975
82,600000677,251.839,187.935,0.0998975
75,600000678,255.402,187.935,0.0998975
77,600000679,263.402,188.006,0.0998975
77,600000680,266.797,187.916,0.0998975
73,600000681,277.128,188.039,0.0998975
78,600000682,284.634,188.138,0.0998975
83,600000683,289.622,188.159,0.0998975
84,600000684,207.219,188.352,0.0998975
84,600000685,208.918,188.395,0.0998975
72,600000686,238.79,188.285,0.0998975
81,600000687,246.305,188.446,0.0998975
82,600000688,250.871,188.333,0.0998975
